Sample	Endogenous_fraction	NO_MERGED_READS	DUP_rate	MEDIAN_SIZE	Log_Mean	Lambda	Lambda_R_squared	Lambda_p_value	X5P_DMG_POS1	X5P_DMG_R_squared	X5P_DMG_p_value	Sample_ID	Batch_no	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Province	District	Town_Village	Latitude_DD	Longitude_DD	Accuracy	Altitude_m	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	3P_DMG_POS1	5P_other_freq	3P_other_freq
3308632_AB_64891_S1	21.62	1913858	0.23	41	3.73136552974871	0.0939173642117348	0.993161286383197	5.9377560413028e-160	0.0122455195156403	0.829974332181885	2.9282301842456e-08	HV0011	#002	RBGK	K001451010	Hordeum	vulgare	26/09/1939	26	9	1939	UK	England	WestKent	Turnbridge	51.13	0.26	Town level		10.9	0.83	NA	182	7.82	23	0.0133062182410942	0.00167101642204039	0.00186508440703729
3308633_AB_64892_S2	96.79	8979022	0.22	41	3.7343008675286	0.0868054035446866	0.998032622754548	3.66592173302128e-202	0.00872439116648858	0.812444674379575	3.42749982621337e-08	HV0012	#002	RBGK	K001451017	Hordeum	vulgare	01/08/1926	1	8	1926	UK	England	Kent	Gravesent	51.44	0.36	Town level		10.9	7.2	1	179	8.43	24	0.00966249636310736	0.00151003954495804	0.00163294644622717
3308634_AB_64872_S3	83.13	10291522	0.24	43	3.79726374524762	0.0658204259388805	0.992829676620057	1.88317047130637e-158	0.00648667618869297	0.757941216485812	2.43224124174762e-07	HV0013	#002	RBGK	K001451036	Hordeum	vulgare	30/05/1932	30	5	1932	UK	England	Bristol 	Avonmouth	51.5	-2.7	Town level		8.6	1.54	NA	181	7.76	19	0.00707655487554252	0.00216534900716192	0.00231302274206649
3308635_AB_64886_S4	94.83	8045507	0.26	43	3.78252629518087	0.0774852395400937	0.997626394411636	1.67630720325661e-193	0.00839142258665465	0.767045957739695	2.45259339448485e-07	HV0014	#002	RBGK	K001451034	Hordeum	vulgare	10/06/1954	10	6	1954	UK	England	Gloucestershire	Sharpness	51.72	-2.48	Town level		12.8	30	1.1	183	5.88	24	0.00912766028532291	0.00139808870837303	0.00150864689546008
3308636_AB_64900_S5	40.78	3568484	0.22	40	3.71058593246078	0.0889774459191129	0.995515280105928	1.11033110963785e-175	0.0182945792150028	0.83021770305692	3.18850596260979e-08	HV0015	#002	RBGK	K001451033	Hordeum	vulgare	02/09/1936	2	9	1936	UK	England	Bristol	Sneyd Park	51.47	-2.63	Town level		2.2	0.314	NA	180	1.26	4.34	0.0192647817605395	0.00241958463938847	0.00257360661025515
3308637_AB_64864_S6	97.7	5097484	0.25	46	3.84442972172613	0.0617525698078052	0.993569372973134	6.65111354938184e-162	0.00695536673853879	0.669109783065507	4.06480274351161e-06	HV0016	#002	RBGK	K001451037	Hordeum	vulgare	17/07/1942	17	7	1942	UK	England	Warwickshire	Cranhill	52.19	-1.83	Town level		6.4	17	NA	183	17.2	54	0.0075773361874633	0.00187972640837983	0.00201990216805685
3308638_AB_64877_S7	0.97	93175	0.27	25	3.38602493079149	0.0837455627888299	0.943689804774329	6.96090398960458e-112	0.0193777537991188	0.570556123969593	3.67558592466359e-05	HV0017	#002	RBGK	K001451038	Hordeum	vulgare	13/08/1918	13	8	1918	UK	England	Warwickshire	Warwick	52.28	-1.59	Town level		8.2	1.93	NA	181	3.18	9.5	0.0180985702561444	0.0154504677683443	0.0153268289554146
3308639_AB_64901_S8	5.35	604114	0.19	38	3.6306774577923	0.119208591853561	0.986717605584217	8.73759177720712e-141	0.0242380296722367	0.878508024577658	1.8031692381464e-09	HV0018	#002	RBGK	K001451027	Hordeum	vulgare	11/06/1946	11	6	1946	UK	England	Oxfordshire	Oxford	51.75	-1.26	Town level		6.8	1.52	NA	182	6.57	17	0.0256632779568559	0.00357577081321459	0.00372480156400703
3308640_AB_64910_S9	1.79	164179	0.17	42	3.72542677548505	0.0695005186550487	0.971583792835835	1.08242253944216e-111	0.0204421475739305	0.740538663548649	5.54646971642259e-07	HV0019	#002	RBGK	K001451029	Hordeum	vulgare	12/08/1934	12	8	1934	UK	England	Norfolk	Grimston	52.77	0.55	Town level		7.2	0.782	NA	187	1.88	5.2	0.0192662896763377	0.00604438953477068	0.00579168295285275
3308641_AB_64865_S10	98.05	6454001	0.22	41	3.7316781990196	0.0839344938180752	0.998582831435823	1.05092373709417e-212	0.0074319011503075	0.862242734990852	2.27703180341219e-09	HV0020	#002	RBGK	K001451039	Hordeum	vulgare	09/09/1937	9	9	1937	UK	England	Staffordshire	Burton-upon-Trent	52.8	-1.64	Town level		9.6	44	NA	175	5.47	21	0.00753926227994467	0.00129600454664627	0.00134385098824859
