Sample	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Latitude_DD	Longitude_DD	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	gDNA_peak_size	gDNA_concentration_Tapestation	gDNA_peak2_size	gDNA_concentration2_Tapestation	Library_Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	Endogenous_fraction	NO_MERGED_READS	DUP_rate	MEDIAN_SIZE	Average_size_merged	Log_Mean	Lambda	Lambda_R_squared	Lambda_p_value	5P_DMG_POS1	5P_DMG_R_squared	5P_DMG_p_value		
HV0012	RBGK	K001451017	Hordeum	vulgare	01/08/1926	1	8	1926	UK	51.44	0.36	10.9	7.2	1	96	0.198	-	-	179	8.43	24	96.79	8979022	0.22	41	44	3.734300868	0.086805404	0.998032623	3.67E-202	0.008724391	0.812444674	3.43E-08		
HV0014	RBGK	K001451034	Hordeum	vulgare	10/06/1954	10	6	1954	UK	51.72	-2.48	12.8	30	1.1	138	0.243	-	-	183	5.88	24	94.83	8045507	0.26	43	46	3.782526295	0.07748524	0.997626394	1.68E-193	0.008391423	0.767045958	2.45E-07		
HV0004	RBGK	K001451024	Hordeum	vulgare	20/10/1935	20	10	1935	UK	51.53	-0.45	4.4	4.96	1.2	98	0.246	-	-	185	22.5	29	96.15	35133712	0.27	47	51	3.86586093	0.060407554	0.99607538	2.48E-170	0.008464725	0.785863052	9.19E-08		
HV0038	RBGK	K001453030	Hordeum	vulgare	09/08/1962	9	8	1962	Turkey	40.04	40.52	9.5	12	1.2	276	0.762	-	-	181	4.13	5.3	98.32	5531390	0.3	41	44	3.726655157	0.085043471	0.998036254	3.20E-202	0.009401061	0.793480536	1.01E-07		
HS0115	RBGK	K001451982	Hordeum	spontaneum	31/03/1950	31	3	1950	Iraq	33.67	45.41	5.1	8.3	2.3	-	-	-	-	179	1.73	2.44	92.73	7303684	0.3	40	61	3.716699354	0.084927476	0.999064671	5.39E-220	0.008481499	0.798810921	5.46E-08		
HS0156	RBGK	K001453877	Hordeum	spontaneum	10/06/1909	10	6	1909	Kyrgyzstan	41	75	7	9.4	1	192	1.45	-	-	178	9.1	9.1	97.7	9907067	0.29	42	45	3.749513529	0.089266026	0.997211142	2.17E-188	0.010463784	0.798562173	6.22E-08		
HS0044	RBGK	K001451926	Hordeum	spontaneum	20/04/1999	20	4	1999	Israel	32.74	35.19	7.7	35	-	-	-	-	-	187	14.4	13	96.6	9604778	0.35	52	59	3.98306161	0.03458123	0.998983941	2.02E-205	0.006544718	0.679010451	3.12E-06		
HS0091	RBGK	K001451961	Hordeum	spontaneum	25/03/1980	25	3	1980	Iraq	33.92	45.4	6.8	10	1.6	314	0.511	-	-	184	13.4	12	97.1	9700595	0.33	51	56	3.950162625	0.046393908	0.991295539	5.48E-142	0.009146439	0.762387161	2.07E-07		
HS0080	RBGK	K001451946	Hordeum	spontaneum	16/04/1940	16	4	1940	Syria	35	38	7	12	1.6	232	0.763	-	-	189	13.8	12	96.25	10458523	0.32	49	53	3.909279005	0.060185117	0.988012667	1.30E-130	0.008598203	0.810576398	2.85E-08		
HS0103	RBGK	K001451969	Hordeum	spontaneum	08/05/1932	8	5	1932	Iraq	33	44	4.9	4.99	1.1	166	0.174	-	-	187	12.9	11	93.32	10728713	0.32	48	52	3.882069023	0.069273446	0.988802921	1.50E-134	0.013759894	0.801362436	4.73E-08		
HS0007	RBGK	K001451888	Hordeum	spontaneum	14/05/1883	14	5	1883	Turkey	39.63	27.88	9.9	11	1.2	109	0.509	-	-	175	7.62	10	96.91	7418531	0.27	37	41	3.646788788	0.090539031	0.998683333	7.78E-221	0.010637148	0.854873542	3.66E-09		
HS0120	RBGK	K001452000	Hordeum	spontaneum	01/05/1867	1	5	1867	NA	NA	NA	12	4.71	-	60	1.67	-	-	174	13.4	11	96.4	10851321	0.26	36	38	3.58760956	0.12584685	0.998259019	1.29E-211	0.010464721	0.840001302	9.01E-09		
HS0154	RBGK	K001453879	Hordeum	spontaneum	07/05/1926	7	5	1926	Uzbekistan	41.3	69.3	8	8.1	-	138	1.58	-	-	179	12.2	12	97.49	8496381	0.28	42	45	3.755552356	0.088654463	0.996818934	3.22E-184	0.010154319	0.870655663	1.30E-09		
HS0011	RBGK	K001451900	Hordeum	spontaneum	01/08/1970	1	8	1970	Germany	51.82	11.27	13.7	17	NA	185	0.377	530	0.386	182	3.58	4.86	79.09	8565295	0.22	44	48	3.810909657	0.073920256	0.996890791	6.37E-180	0.012507006	0.784699373	9.74E-08		
HV0053	RBGK	K001453052	Hordeum	vulgare	13/04/1947	13	4	1947	Iraq	35.47	44.32	7.9	7.5	1.1	249	1.18	-	-	184	13.6	13	97.98	9678532	0.32	46	50	3.852166081	0.073487784	0.994936407	5.48E-158	0.007222685	0.763659671	2.12E-07		
HV0061	RBGK	K001453071	Hordeum	vulgare	23/04/1842	23	4	1842	Iran	29.93	52.87	6.5	6.6	1.5	227	0.323	-	-	185	16.1	15	95.68	10365776	0.31	48	53	3.897647834	0.059573338	0.990294821	8.97E-139	0.0220996	0.786031246	1.45E-07		
HV0026	RBGK	K001451045	Hordeum	vulgare	1906	NA	NA	1906	NA	NA	NA	11.5	4.27	-	155	0.196	-	-	180	18.7	16	96.16	9622538	0.29	44	48	3.798924241	0.072795903	0.993403868	4.25E-161	0.008658236	0.804084485	3.91E-08		
