Sample	Batch_no	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Province	District	Town_Village	Latitude_DD	Longitude_DD	Accuracy	Altitude_m	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	
HV0011	#002	RBGK	K001451010	Hordeum	vulgare	26/09/1939	26	9	1939	UK	England	WestKent	Turnbridge	51.13	0.26	Town level		10.9	0.83	NA	182	7.82	23	
HV0012	#002	RBGK	K001451017	Hordeum	vulgare	01/08/1926	1	8	1926	UK	England	Kent	Gravesent	51.44	0.36	Town level		10.9	7.2	1	179	8.43	24	
HV0013	#002	RBGK	K001451036	Hordeum	vulgare	30/05/1932	30	5	1932	UK	England	Bristol 	Avonmouth	51.5	-2.7	Town level		8.6	1.54	NA	181	7.76	19	
HV0014	#002	RBGK	K001451034	Hordeum	vulgare	10/06/1954	10	6	1954	UK	England	Gloucestershire	Sharpness	51.72	-2.48	Town level		12.8	30	1.1	183	5.88	24	
HV0015	#002	RBGK	K001451033	Hordeum	vulgare	02/09/1936	2	9	1936	UK	England	Bristol	Sneyd Park	51.47	-2.63	Town level		2.2	0.314	NA	180	1.26	4.34	
HV0016	#002	RBGK	K001451037	Hordeum	vulgare	17/07/1942	17	7	1942	UK	England	Warwickshire	Cranhill	52.19	-1.83	Town level		6.4	17	NA	183	17.2	54	
HV0017	#002	RBGK	K001451038	Hordeum	vulgare	13/08/1918	13	8	1918	UK	England	Warwickshire	Warwick	52.28	-1.59	Town level		8.2	1.93	NA	181	3.18	9.5	
HV0018	#002	RBGK	K001451027	Hordeum	vulgare	11/06/1946	11	6	1946	UK	England	Oxfordshire	Oxford	51.75	-1.26	Town level		6.8	1.52	NA	182	6.57	17	
HV0019	#002	RBGK	K001451029	Hordeum	vulgare	12/08/1934	12	8	1934	UK	England	Norfolk	Grimston	52.77	0.55	Town level		7.2	0.782	NA	187	1.88	5.2	
HV0020	#002	RBGK	K001451039	Hordeum	vulgare	09/09/1937	9	9	1937	UK	England	Staffordshire	Burton-upon-Trent	52.8	-1.64	Town level		9.6	44	NA	175	5.47	21	
HS0011	#004	RBGK	K001451900	Hordeum	spontaneum	01/08/1970	1	8	1970	Germany	Saxony-Anhalt	Salzlandkreis	Gatersleben	51.82	11.27	Town level		13.7	17	NA	182	3.58	4.86	
HS0012	#004	RBGK	K001451899	Hordeum	spontaneum	10/04/1949	10	4	1949	Cyprus	Northern Cyprus	Kyrenia	Kyrenia	35.34	33.32	Town level		4.7	3.29	NA	182	7.76	12	
HS0013	#004	RBGK	K001451898	Hordeum	spontaneum	22/04/1956	22	4	1956	Cyprus	SouthCyprus	Limassol	Asomatos	34.64	32.96	Town level		10.5	42	NA	181	6.8	11	
HS0014	#004	RBGK	K001451897	Hordeum	spontaneum	01/08/1970	1	8	1970	Germany	Saxony-Anhalt	Salzlandkreis	Gatersleben	51.82	11.27	Town level		6.5	3.78	NA	186	10.2	14	
HS0015	#004	RBGK	K001451896	Hordeum	spontaneum	02/05/1982	2	5	1982	Cyprus	SouthCyprus	Nicosia	Agrokipia	35.04	33.15	Town level		9.8	68	NA	192	15.8	28	
HS0016	#004	RBGK	K001451895	Hordeum	spontaneum	27/03/1957	27	3	1957	Cyprus	Northern Cyprus	Lefke	Evrychoqu	35.08	32.88	Town level		6.4	15	NA	188	24	33	
HS0017	#004	RBGK	K001411326	Hordeum	spontaneum	2015	NA	NA	2015	Cyprus	Nicosia	Agia Marina	NA	35.05	33.05	GPS		10.2	81	NA	191	11.9	20	
HS0018	#004	RBGK	K001451906	Hordeum	spontaneum	01/08/1970	1	8	1970	Germany	Saxony-Anhalt	Salzlandkreis	Gatersleben	51.82	11.27	Town level		6.8	5.2	NA	178	10.2	17	
HS0019	#004	RBGK	K001451905	Hordeum	spontaneum	01/08/1970	1	8	1970	Germany	Saxony-Anhalt	Salzlandkreis	Gatersleben	51.82	11.27	Town level		7.7	24	NA	185	9.22	14	
HS0020	#004	RBGK	K001451904	Hordeum	spontaneum	27/03/1936	27	3	1936	Cyprus	SouthCyprus	Aronas	Athalassa	35.13	33.41	Town level		11.3	28	NA	185	9.32	13	
HS0001	#006	RBGK	K001451894	Hordeum	spontaneum	24/05/1957	24	5	1957	Turkey	Mardin	Savur	Savur	37.56	40.68	Town level		8.8	41	NA	188	13.8	39	
HS0003	#006	RBGK	K001451893	Hordeum	spontaneum	26/04/1965	26	4	1965	Turkey	Izmir	Cesme	Şifne	38.32	26.41	Town level		9.5	28	NA	192	16.2	44	
HS0004	#006	RBGK	K001451892	Hordeum	spontaneum	06/05/1969	6	5	1969	Turkey	Canakkale	Canakkale	Canakkale	40.15	26.41	Town level		9.7	12	NA	187	17.3	41	
HS0005	#006	RBGK	K001451890	Hordeum	spontaneum	02/05/1966	2	5	1966	Turkey	Mardin	Savur	Savur	37.56	40.68	Town level		7.6	37	NA	190	16.6	45	
HS0006	#006	RBGK	K001451889	Hordeum	spontaneum	02/05/1966	2	5	1966	Turkey	Şanlıurfa	Ceylanpınar	Viransehir	37.04	39.92	Town level		6.2	6.8	NA	187	15.2	27	
HS0008	#006	RBGK	K001451887	Hordeum	spontaneum	11/05/1988	11	5	1988	Turkey	Adiyaman	Kahta	Kahta	37.87	38.68	Town level		7.1	10	NA	191	25.9	45	
HS0009	#006	RBGK	K001451886	Hordeum	spontaneum	11/05/1988	11	5	1988	Turkey	Diyarbakir	Diyarbakir	Kahta	37.9	40.03	Town level		3.3	1.63	NA	186	8.55	15	
HS0010	#006	RBGK	K001451901	Hordeum	spontaneum	06/04/1955	6	4	1955	Cyprus	Northern Cyprus	Kyrenia	Kyrenia	35.34	33.32	Town level		6.7	27	NA	181	16.9	29	
HS0036	#006	RBGK	K001451941	Hordeum	spontaneum	14/05/1994	14	5	1994	Israel	Northern District	GolanHeights	GIvatYoav	32.8	35.67	Town level		7.1	13	NA	188	16.6	35	
HS0037	#006	RBGK	K001451940	Hordeum	spontaneum	11/05/1994	11	5	1994	Israel	SouthernDistrict	NegevDesert	Her Ramon	30.5	34.6	Town level		8	19	NA	186	25.2	48	
HV0001	#010	RBGK	K001451021	Hordeum	vulgare	07/09/1927	7	9	1927	UK	England	EastLondon	Dagenham	51.54	0.14	Town level		6.6	11	NA	182	22.9	25	
HV0002	#010	RBGK	K001451022	Hordeum	vulgare	08/07/1923	8	7	1923	UK	England	Essex	Colchester	51.9	0.9	Town level		8.3	2.73	NA	182	12.6	16	
HV0003	#010	RBGK	K001451023	Hordeum	vulgare	10/10/1931	10	10	1931	UK	England	Hertfordshire	Hitchin	51.95	-0.28	Town level		9.3	11	NA	189	18.2	29	
HV0004	#010	RBGK	K001451024	Hordeum	vulgare	20/10/1935	20	10	1935	UK	England	Uxbridge	Hillingdon	51.53	-0.45	Town level		4.4	4.96	1.2	185	22.5	29	
HV0007	#010	RBGK	K001451006	Hordeum	vulgare	20/08/1925	20	8	1925	UK	IsleWight	Newport	Newport	50.7	-1.29	Town level		5.6	5.3	NA	181	26.2	27	
HV0008	#010	RBGK	K001451007	Hordeum	vulgare	01/06/1934	1	6	1934	UK	IsleWight	Cowes	Floating Bridge	50.76	-1.29	Town level		3.4	2.93	NA	184	19.2	22	
HV0009	#010	RBGK	K001451016	Hordeum	vulgare	12/07/1936	12	7	1936	UK	England	WestKent	High Brooms	51.15	0.28	Town level		6.3	9.5	NA	192	19	23	
HV0010	#010	RBGK	K001451012	Hordeum	vulgare	05/07/1936	5	7	1936	UK	London	Bromley	Green Street Green	51.35	0.09	Town level		3.4	2.42	NA	188	20.6	29	
